id,path,target
CI (470),./data/CI/CI (470).png,0
SOI (635),./data/SOI/SOI (635).png,3
SOI (822),./data/SOI/SOI (822).png,3
MCWI (302),./data/MCWI/MCWI (302).png,2
MCWI (359),./data/MCWI/MCWI (359).png,2
CWI (676),./data/CWI/CWI (676).png,1
MCWI (1171),./data/MCWI/MCWI (1171).png,2
CI (290),./data/CI/CI (290).png,0
MCWI (488),./data/MCWI/MCWI (488).png,2
MCWI (720),./data/MCWI/MCWI (720).png,2
CWI (95),./data/CWI/CWI (95).png,1
CWI (766),./data/CWI/CWI (766).png,1
MCWI (321),./data/MCWI/MCWI (321).png,2
SOI (577),./data/SOI/SOI (577).png,3
MCWI (1147),./data/MCWI/MCWI (1147).png,2
SOI (1001),./data/SOI/SOI (1001).png,3
SOI (1016),./data/SOI/SOI (1016).png,3
MCWI (678),./data/MCWI/MCWI (678).png,2
MCWI (796),./data/MCWI/MCWI (796).png,2
CI (113),./data/CI/CI (113).png,0
SOI (1053),./data/SOI/SOI (1053).png,3
CWI (51),./data/CWI/CWI (51).png,1
CI (926),./data/CI/CI (926).png,0
CI (1033),./data/CI/CI (1033).png,0
CWI (955),./data/CWI/CWI (955).png,1
CI (1121),./data/CI/CI (1121).png,0
SOI (85),./data/SOI/SOI (85).png,3
CI (12),./data/CI/CI (12).png,0
SOI (1113),./data/SOI/SOI (1113).png,3
MCWI (1082),./data/MCWI/MCWI (1082).png,2
CWI (48),./data/CWI/CWI (48).png,1
CI (429),./data/CI/CI (429).png,0
CWI (863),./data/CWI/CWI (863).png,1
SOI (196),./data/SOI/SOI (196).png,3
MCWI (974),./data/MCWI/MCWI (974).png,2
SOI (988),./data/SOI/SOI (988).png,3
CI (656),./data/CI/CI (656).png,0
MCWI (247),./data/MCWI/MCWI (247).png,2
CWI (1049),./data/CWI/CWI (1049).png,1
CI (527),./data/CI/CI (527).png,0
MCWI (106),./data/MCWI/MCWI (106).png,2
CWI (144),./data/CWI/CWI (144).png,1
CI (1168),./data/CI/CI (1168).png,0
CI (203),./data/CI/CI (203).png,0
CWI (846),./data/CWI/CWI (846).png,1
MCWI (979),./data/MCWI/MCWI (979).png,2
CWI (658),./data/CWI/CWI (658).png,1
CI (259),./data/CI/CI (259).png,0
MCWI (700),./data/MCWI/MCWI (700).png,2
SOI (864),./data/SOI/SOI (864).png,3
CWI (300),./data/CWI/CWI (300).png,1
CI (743),./data/CI/CI (743).png,0
SOI (1043),./data/SOI/SOI (1043).png,3
CI (385),./data/CI/CI (385).png,0
SOI (1189),./data/SOI/SOI (1189).png,3
MCWI (916),./data/MCWI/MCWI (916).png,2
CI (911),./data/CI/CI (911).png,0
SOI (973),./data/SOI/SOI (973).png,3
MCWI (918),./data/MCWI/MCWI (918).png,2
MCWI (763),./data/MCWI/MCWI (763).png,2
SOI (1036),./data/SOI/SOI (1036).png,3
SOI (790),./data/SOI/SOI (790).png,3
CWI (454),./data/CWI/CWI (454).png,1
SOI (401),./data/SOI/SOI (401).png,3
MCWI (1000),./data/MCWI/MCWI (1000).png,2
MCWI (90),./data/MCWI/MCWI (90).png,2
CI (687),./data/CI/CI (687).png,0
SOI (320),./data/SOI/SOI (320).png,3
MCWI (240),./data/MCWI/MCWI (240).png,2
CWI (267),./data/CWI/CWI (267).png,1
CI (1175),./data/CI/CI (1175).png,0
CWI (196),./data/CWI/CWI (196).png,1
CWI (764),./data/CWI/CWI (764).png,1
CWI (893),./data/CWI/CWI (893).png,1
CWI (1181),./data/CWI/CWI (1181).png,1
MCWI (536),./data/MCWI/MCWI (536).png,2
SOI (356),./data/SOI/SOI (356).png,3
MCWI (419),./data/MCWI/MCWI (419).png,2
MCWI (415),./data/MCWI/MCWI (415).png,2
MCWI (62),./data/MCWI/MCWI (62).png,2
MCWI (1098),./data/MCWI/MCWI (1098).png,2
MCWI (202),./data/MCWI/MCWI (202).png,2
CWI (823),./data/CWI/CWI (823).png,1
SOI (918),./data/SOI/SOI (918).png,3
CI (492),./data/CI/CI (492).png,0
CWI (809),./data/CWI/CWI (809).png,1
CI (525),./data/CI/CI (525).png,0
CI (991),./data/CI/CI (991).png,0
CI (51),./data/CI/CI (51).png,0
CWI (699),./data/CWI/CWI (699).png,1
CI (116),./data/CI/CI (116).png,0
CWI (306),./data/CWI/CWI (306).png,1
CI (1008),./data/CI/CI (1008).png,0
CWI (538),./data/CWI/CWI (538).png,1
CWI (752),./data/CWI/CWI (752).png,1
SOI (550),./data/SOI/SOI (550).png,3
SOI (734),./data/SOI/SOI (734).png,3
MCWI (1051),./data/MCWI/MCWI (1051).png,2
MCWI (363),./data/MCWI/MCWI (363).png,2
CI (333),./data/CI/CI (333).png,0
CI (798),./data/CI/CI (798).png,0
CWI (287),./data/CWI/CWI (287).png,1
SOI (134),./data/SOI/SOI (134).png,3
CWI (903),./data/CWI/CWI (903).png,1
CWI (168),./data/CWI/CWI (168).png,1
CI (205),./data/CI/CI (205).png,0
CI (815),./data/CI/CI (815).png,0
MCWI (171),./data/MCWI/MCWI (171).png,2
MCWI (704),./data/MCWI/MCWI (704).png,2
MCWI (684),./data/MCWI/MCWI (684).png,2
CI (878),./data/CI/CI (878).png,0
CWI (894),./data/CWI/CWI (894).png,1
CWI (1151),./data/CWI/CWI (1151).png,1
MCWI (1066),./data/MCWI/MCWI (1066).png,2
SOI (1081),./data/SOI/SOI (1081).png,3
SOI (814),./data/SOI/SOI (814).png,3
MCWI (534),./data/MCWI/MCWI (534).png,2
CWI (1017),./data/CWI/CWI (1017).png,1
MCWI (324),./data/MCWI/MCWI (324).png,2
MCWI (407),./data/MCWI/MCWI (407).png,2
CWI (882),./data/CWI/CWI (882).png,1
CI (25),./data/CI/CI (25).png,0
MCWI (129),./data/MCWI/MCWI (129).png,2
CI (916),./data/CI/CI (916).png,0
MCWI (1061),./data/MCWI/MCWI (1061).png,2
MCWI (1034),./data/MCWI/MCWI (1034).png,2
CWI (888),./data/CWI/CWI (888).png,1
CWI (697),./data/CWI/CWI (697).png,1
CI (406),./data/CI/CI (406).png,0
SOI (800),./data/SOI/SOI (800).png,3
CWI (502),./data/CWI/CWI (502).png,1
CWI (389),./data/CWI/CWI (389).png,1
CWI (125),./data/CWI/CWI (125).png,1
CI (670),./data/CI/CI (670).png,0
SOI (653),./data/SOI/SOI (653).png,3
CWI (348),./data/CWI/CWI (348).png,1
CWI (346),./data/CWI/CWI (346).png,1
CI (18),./data/CI/CI (18).png,0
CWI (673),./data/CWI/CWI (673).png,1
SOI (719),./data/SOI/SOI (719).png,3
MCWI (1140),./data/MCWI/MCWI (1140).png,2
SOI (649),./data/SOI/SOI (649).png,3
SOI (823),./data/SOI/SOI (823).png,3
CWI (470),./data/CWI/CWI (470).png,1
MCWI (841),./data/MCWI/MCWI (841).png,2
CWI (759),./data/CWI/CWI (759).png,1
SOI (139),./data/SOI/SOI (139).png,3
SOI (243),./data/SOI/SOI (243).png,3
CWI (960),./data/CWI/CWI (960).png,1
SOI (336),./data/SOI/SOI (336).png,3
CI (659),./data/CI/CI (659).png,0
SOI (395),./data/SOI/SOI (395).png,3
CWI (272),./data/CWI/CWI (272).png,1
CWI (978),./data/CWI/CWI (978).png,1
CWI (1136),./data/CWI/CWI (1136).png,1
CI (819),./data/CI/CI (819).png,0
MCWI (850),./data/MCWI/MCWI (850).png,2
CI (679),./data/CI/CI (679).png,0
SOI (268),./data/SOI/SOI (268).png,3
SOI (39),./data/SOI/SOI (39).png,3
SOI (1162),./data/SOI/SOI (1162).png,3
CI (507),./data/CI/CI (507).png,0
SOI (580),./data/SOI/SOI (580).png,3
CI (11),./data/CI/CI (11).png,0
CI (308),./data/CI/CI (308).png,0
CWI (449),./data/CWI/CWI (449).png,1
CI (972),./data/CI/CI (972).png,0
MCWI (1184),./data/MCWI/MCWI (1184).png,2
MCWI (690),./data/MCWI/MCWI (690).png,2
MCWI (1053),./data/MCWI/MCWI (1053).png,2
SOI (210),./data/SOI/SOI (210).png,3
CWI (226),./data/CWI/CWI (226).png,1
CI (81),./data/CI/CI (81).png,0
SOI (514),./data/SOI/SOI (514).png,3
MCWI (61),./data/MCWI/MCWI (61).png,2
MCWI (996),./data/MCWI/MCWI (996).png,2
SOI (685),./data/SOI/SOI (685).png,3
CWI (492),./data/CWI/CWI (492).png,1
CI (246),./data/CI/CI (246).png,0
CI (1026),./data/CI/CI (1026).png,0
CI (502),./data/CI/CI (502).png,0
CI (867),./data/CI/CI (867).png,0
CWI (341),./data/CWI/CWI (341).png,1
MCWI (541),./data/MCWI/MCWI (541).png,2
MCWI (1097),./data/MCWI/MCWI (1097).png,2
CWI (101),./data/CWI/CWI (101).png,1
CWI (1116),./data/CWI/CWI (1116).png,1
MCWI (328),./data/MCWI/MCWI (328).png,2
CI (58),./data/CI/CI (58).png,0
CWI (173),./data/CWI/CWI (173).png,1
MCWI (134),./data/MCWI/MCWI (134).png,2
SOI (1003),./data/SOI/SOI (1003).png,3
CI (463),./data/CI/CI (463).png,0
MCWI (104),./data/MCWI/MCWI (104).png,2
MCWI (300),./data/MCWI/MCWI (300).png,2
MCWI (680),./data/MCWI/MCWI (680).png,2
MCWI (214),./data/MCWI/MCWI (214).png,2
CWI (1111),./data/CWI/CWI (1111).png,1
MCWI (741),./data/MCWI/MCWI (741).png,2
SOI (677),./data/SOI/SOI (677).png,3
SOI (735),./data/SOI/SOI (735).png,3
CI (127),./data/CI/CI (127).png,0
MCWI (546),./data/MCWI/MCWI (546).png,2
CI (577),./data/CI/CI (577).png,0
SOI (1004),./data/SOI/SOI (1004).png,3
CWI (1031),./data/CWI/CWI (1031).png,1
MCWI (420),./data/MCWI/MCWI (420).png,2
CWI (318),./data/CWI/CWI (318).png,1
MCWI (616),./data/MCWI/MCWI (616).png,2
MCWI (750),./data/MCWI/MCWI (750).png,2
SOI (280),./data/SOI/SOI (280).png,3
CWI (807),./data/CWI/CWI (807).png,1
SOI (170),./data/SOI/SOI (170).png,3
CI (142),./data/CI/CI (142).png,0
SOI (413),./data/SOI/SOI (413).png,3
MCWI (301),./data/MCWI/MCWI (301).png,2
SOI (554),./data/SOI/SOI (554).png,3
MCWI (823),./data/MCWI/MCWI (823).png,2
CWI (257),./data/CWI/CWI (257).png,1
SOI (443),./data/SOI/SOI (443).png,3
MCWI (634),./data/MCWI/MCWI (634).png,2
MCWI (451),./data/MCWI/MCWI (451).png,2
CWI (840),./data/CWI/CWI (840).png,1
CWI (790),./data/CWI/CWI (790).png,1
CWI (116),./data/CWI/CWI (116).png,1
SOI (507),./data/SOI/SOI (507).png,3
CWI (147),./data/CWI/CWI (147).png,1
MCWI (1026),./data/MCWI/MCWI (1026).png,2
CWI (711),./data/CWI/CWI (711).png,1
SOI (72),./data/SOI/SOI (72).png,3
SOI (372),./data/SOI/SOI (372).png,3
MCWI (947),./data/MCWI/MCWI (947).png,2
CI (1005),./data/CI/CI (1005).png,0
MCWI (193),./data/MCWI/MCWI (193).png,2
CI (378),./data/CI/CI (378).png,0
MCWI (494),./data/MCWI/MCWI (494).png,2
MCWI (801),./data/MCWI/MCWI (801).png,2
MCWI (13),./data/MCWI/MCWI (13).png,2
MCWI (1039),./data/MCWI/MCWI (1039).png,2
CWI (541),./data/CWI/CWI (541).png,1
CWI (1026),./data/CWI/CWI (1026).png,1
CI (44),./data/CI/CI (44).png,0
MCWI (222),./data/MCWI/MCWI (222).png,2
CI (874),./data/CI/CI (874).png,0
CWI (834),./data/CWI/CWI (834).png,1
CWI (1123),./data/CWI/CWI (1123).png,1
SOI (452),./data/SOI/SOI (452).png,3
SOI (407),./data/SOI/SOI (407).png,3
CWI (231),./data/CWI/CWI (231).png,1
CWI (1110),./data/CWI/CWI (1110).png,1
MCWI (620),./data/MCWI/MCWI (620).png,2
CI (324),./data/CI/CI (324).png,0
MCWI (748),./data/MCWI/MCWI (748).png,2
CI (1067),./data/CI/CI (1067).png,0
CWI (241),./data/CWI/CWI (241).png,1
CWI (537),./data/CWI/CWI (537).png,1
CWI (365),./data/CWI/CWI (365).png,1
SOI (773),./data/SOI/SOI (773).png,3
MCWI (1188),./data/MCWI/MCWI (1188).png,2
CI (114),./data/CI/CI (114).png,0
SOI (399),./data/SOI/SOI (399).png,3
MCWI (335),./data/MCWI/MCWI (335).png,2
MCWI (699),./data/MCWI/MCWI (699).png,2
MCWI (859),./data/MCWI/MCWI (859).png,2
CI (375),./data/CI/CI (375).png,0
CWI (712),./data/CWI/CWI (712).png,1
CWI (62),./data/CWI/CWI (62).png,1
MCWI (1049),./data/MCWI/MCWI (1049).png,2
CI (1047),./data/CI/CI (1047).png,0
SOI (1008),./data/SOI/SOI (1008).png,3
CI (792),./data/CI/CI (792).png,0
MCWI (285),./data/MCWI/MCWI (285).png,2
SOI (558),./data/SOI/SOI (558).png,3
MCWI (535),./data/MCWI/MCWI (535).png,2
CWI (505),./data/CWI/CWI (505).png,1
MCWI (794),./data/MCWI/MCWI (794).png,2
CWI (565),./data/CWI/CWI (565).png,1
SOI (687),./data/SOI/SOI (687).png,3
MCWI (599),./data/MCWI/MCWI (599).png,2
CWI (800),./data/CWI/CWI (800).png,1
CI (235),./data/CI/CI (235).png,0
MCWI (1107),./data/MCWI/MCWI (1107).png,2
CWI (1171),./data/CWI/CWI (1171).png,1
SOI (238),./data/SOI/SOI (238).png,3
MCWI (869),./data/MCWI/MCWI (869).png,2
SOI (1063),./data/SOI/SOI (1063).png,3
CI (410),./data/CI/CI (410).png,0
MCWI (118),./data/MCWI/MCWI (118).png,2
CWI (1179),./data/CWI/CWI (1179).png,1
MCWI (502),./data/MCWI/MCWI (502).png,2
MCWI (527),./data/MCWI/MCWI (527).png,2
CWI (475),./data/CWI/CWI (475).png,1
SOI (914),./data/SOI/SOI (914).png,3
MCWI (1117),./data/MCWI/MCWI (1117).png,2
CWI (8),./data/CWI/CWI (8).png,1
SOI (327),./data/SOI/SOI (327).png,3
CI (1166),./data/CI/CI (1166).png,0
CWI (773),./data/CWI/CWI (773).png,1
SOI (326),./data/SOI/SOI (326).png,3
MCWI (539),./data/MCWI/MCWI (539).png,2
CI (490),./data/CI/CI (490).png,0
SOI (855),./data/SOI/SOI (855).png,3
MCWI (518),./data/MCWI/MCWI (518).png,2
MCWI (687),./data/MCWI/MCWI (687).png,2
CI (21),./data/CI/CI (21).png,0
CI (546),./data/CI/CI (546).png,0
CI (925),./data/CI/CI (925).png,0
MCWI (76),./data/MCWI/MCWI (76).png,2
CWI (478),./data/CWI/CWI (478).png,1
SOI (501),./data/SOI/SOI (501).png,3
MCWI (827),./data/MCWI/MCWI (827).png,2
CI (582),./data/CI/CI (582).png,0
CWI (358),./data/CWI/CWI (358).png,1
CI (23),./data/CI/CI (23).png,0
SOI (463),./data/SOI/SOI (463).png,3
CI (1073),./data/CI/CI (1073).png,0
SOI (896),./data/SOI/SOI (896).png,3
